;Gender;M
;Season;(Višestruke stavke)
;FAI rank;(Višestruke stavke)
;FAI Licence Validation;(Višestruke stavke)

;WALAR score points;Competitions
;Competitor;2021 Dubai IPC;2021 WPC;2022 EEAC BiH;2022 WPC;2023 Dolomiti Cup;2023 Dubai IPC;2023 EEAC BiH;2023 EEAC Bulgaria;2023 EPC;2023 NC Austria;2023 SWCS Austria;2023 SWCS Italy;2023 SWCS UAE;2023 World Cup;2024 Dubai IPC;2024 EEAC BiH;2024 Poreč IPC;2024 SWCS Austria;2024 SWCS Czech R.;2024 SWCS Italy;2024 WPC;2025 Poreč IPC;2025 SWCS Czech R.;2025 EPC;2025 SWCS Italy;2025 SWCS Austria;2025 Asian PC;2025 World Cup;Total
508;Martin Ratzke | Germany;;;;;;;;;;;0;;;;;;;1;0;;;;;;;;;;1
509;Renat Sultanov | Kazahstan;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
510;Frederico Toscano | Argentina;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
511;Fabian Resch | Austria;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
512;Joe Ablitt | Canada;0;;;0;;0;;;;;;;;;;;;;;;1;;;;;;;;1
513;Hani Omer | Bahrein;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
514;Kasper Hoejbak | Denmark;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
515;Robertus Rahman Syoh Yudiana | Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
516;Reroei Descuky | Egypt;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
517;Petr Maršák | Czech Republic;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;0
518;Valentin Valyavin | Kazahstan;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0
519;Pietro Lunardi | Italy;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0
520;Rolf Kramer | Germany;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0
521;Bernhard Russegger | 0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0
522;Pierangelo Lunardi | Italy;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;0
523;Bálint Márk Szécsény | Hungary;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0
524;Silvio del Piero | Italy;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;;;0
525;Peter Ginda | Slovakia;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0
526;Sabina Sikora | Poland;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0
527;Matar Salem Al Suwaidi | UAE;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0
528;Rafal Urbaniak | Poland;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;0
529;Oumar Cheikh Larrocha | Espana;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;0
530;Vittor Correia | Portugal;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0
531;Eddy Bischoff | Germany;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;;0
532;Silvio Seiler | Switzerland;;;;;0;;;;;;0;0;;;;;;;;;;;;;;;;;0
533;Carlos Camelo | Portugal;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;0
534;Mauro Kaufmann | Switzerland;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;;;0
535;Ondřej Zvědělík | Czech Republic;;;;;;;;;;;;;;;0;;;;;;;;;;0;0;;;0
536;Vladimir Matousu | Czech Republic;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
537;Nicola Ciccarone | Italy;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0
538;Vladimir Perez | USA;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
539;Richard Meijer | Netherlands;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0
540;Vladimir Perez Villalobo | Espana;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0
541;Theo Smolders | Belgium;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;0
542;Walter Breppe | Argentina;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0
543;Stoyan Kolev | Bulgaria;0;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0
544;Tomas Malasek | Czech Republic;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0
545;Padrick Carnahan | USA;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0
546;Saed Al blooshi | UAE;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0
547;Barnabás Fekti | 0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0
548;Wersam Mahfud | Lybia;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
549;Alessio Schembri | Italy;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0
550;Wesam Mhfud | Lybia;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;0
551;Thomas Hark | 0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0
552;Michael Bogh | Sweeden;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0
553;Dávid Bali | 0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0
554;Sabir Sultanov | Kazahstan;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0
555;Nikita Sokolov | Russia;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
556;Wojciech Bronski | Poland;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
557;William Robert Lundh | Denmark;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0
558;Ralf Homuth | Germany;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0
559;Mohammad Asad Alblooshi | UAE;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0
560;Wolfgang Reichmann | Germany;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;0
561;Rabeea Ali | Lybia;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;0
562;Pedro Abreu | Portugal;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0
563;Matej Chladek | Czech Republic;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0
564;Mohamed Alsuvaidi | UAE;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0
565;Steffen Gransalke | Germany;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;;0
566;Yerlan Kaparov | Kazahstan;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0
567;Risto Käyhkö | Finland;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0
568;Mohamed Amer | Egypt;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
569;Miroslav Arčon | Montenegro;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;0
570;Mugibel Ahmed | Bahrein;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
571;Michal Brozek | Czech Republic;;;;;;;;;;;;;;;;;;0;;0;;;;;;0;;;0
572;Peter Klima | Austria;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0
573;Osvaldo Prata | Portugal;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0
574;Zdenek Jentschke | Czech Republic;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;0
575;Osamah Alzarouq | Lybia;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
576;Rastislav Zatko | Slovakia;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0
577;Massimo Borlenghi | Italy;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;0
578;Narit Pidokrajt | Sweeden;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0
579;Tyron Ferrerio | Italy;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0
580;Paul Steiner | Austria;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0
581;Zdeněk Jentschke | 0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0
582;Milo Sulda | Australia;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
583;Jan Kučera | Czech Republic;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0
584;Ondrej Zvedelik | Czech Republic;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
585;Ayité Mensah | 0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0
586;David Bali | Hungary;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
587;Martin Vrána | 0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0
588;Luka Lovrec | Austria;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0
589;Adam Vachuta | Czech Republic;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;;0
590;Saulius Montrimas | Lithuania;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0
591;Miloš Vukotić | Croatia;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0
592;Matthias Oppel | Germany;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;;;0
593;Ivan Vyskocil | 0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0
594;Said Al Hattali | Oman;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0
595;Per Frydkjær | 0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0
596;Torald Egger | Austria;;;;;;;;;;0;0;0;;;;;;;;;;;;;0;;;;0
597;Zdeněk Hanák | Czech Republic;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
598;Martin Brunner | Austria;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0
599;Mathias Frydenlund Mortensen | Denmark;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0
600;Pascal Dolo | France;;;;;;;;;;;;0;;;;;;;;0;;;;;0;;;;0
601;Jamie Robe | USA;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0
602;Petr Laštovka | Czech Republic;;;;;;;;;;;0;0;;;;;;0;0;0;;;0;;0;0;;;0
603;Markus Demmler | Germany;;;;;;;;;;;0;;;;;;;0;;;;;;;;0;;;0
604;Martin Kucera | Czech Republic;;;;;;;;;;;;;;;;;;;0;0;;;0;;0;0;;;0
605;Salem Hasan | Lybia;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0
606;Jean Jacques Arendt | France;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;0
607;Jaakko Lautamäki | Finland;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0
608;Laurent Millot | France;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0
609;Anis Belgasem | Lybia;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0
610;John Hill | USA;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0
611;Jorge Ballari | Argentina;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0
612;Ibrahim Shokry | Egypt;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
613;Jorge Farfalha | Portugal;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0
614;Andrea Stocco | Italy;;;;;;;;;;;;0;;;;;;;;0;;;;;0;;;;0
615;Dave Tylcoat | Great Britain;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0
616;Luis Bravo | Argentina;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0
617;Franz Kiesenhofer | Austria;;;;;0;;;;;0;0;0;;;;;;0;0;;;;0;;;;;;0
618;Dwi Was.. Subekti | NEPOZNATO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
619;Anjill Faozi | Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
620;Jonas Wallberg | Sweeden;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;0
621;Barayik Abdulhaanod | Lybia;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
622;Artur Chudyba | Poland;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0
623;Fabio Cristofolini | Italy;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;;;0
624;Aymeric De Laubier | France;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;0
625;Eddy Theisen | Germany;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;;0
626;Glenn Stephenson | Great Britain;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;0
627;Fuad Altarabulsi | Lybia;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
628;Luca Melchiotti | Italy;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;0
629;Fuad Altarbulsi | Lybia;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0
630;Fabian Premsyl | Czech Republic;;;;;;;;;;;;;;;;;;0;0;0;;;0;;;0;;;0
631;Cameron Wise | Australia;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0
632;Abdula Sultan | Bahrein;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
633;Ante Grubišić Čabo | Croatia;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
634;Alexander Salcher | Austria;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;0
635;Mario Lakatos | Canada;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;0
636;Alexander Schopf | Austria;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;0
637;Hendro Satriyo | Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
638;Barnabas Fekti | Hungary;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0
639;Ivan Petrušić | Croatia;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0
640;Andrin Frei | Switzerland;;;;;;;;;;;;;;;;;;0;;0;;;0;0;;;;;0
641;Dennis Murphy | USA;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0
642;Fehad Al Marri | Qatar;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;0
643;Igor Naghimov | Romania;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0
644;Leonardo Hernandez | USA;0;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;0
645;Benjamin Lachambre | France;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0
646;Jo Ruben | Netherlands;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0
647;Karel Štancl | Czech Republic;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0
648;Evžen Križek | Czech Republic;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0
649;Diego Risi | Italy;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0
650;Almuatasim Al Mry | Oman;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0
651;Karsten Hansen | Denmark;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;0
652;Balint Szecseny | Hungary;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;0
653;Jerzy Duszak | Poland;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0
654;Jaunius Plikaitis | Lithuania;;;;;;;;;;;;;;;;;;;;0;;;;;0;0;;;0
655;Jevgenijs Fjodorovihs | Latvia;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0
656;John Davies | Canada;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0
657;Kenneth Willander | Denmark;;;;;;;;;;;0;0;;;;;;;;;;;0;;0;;;;0
658;Hamood Al Sabahi | Oman;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0
659;Jan Krs | Czech Republic;;;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;0
660;Chritoph Haertzmuller | Austria;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0
661;Andew Mulholland | Australia;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0
662;Durk De Vries | Netherlands;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0
663;Audrius Miecius | Lithuania;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0
664;Abdelfatah Hamed | Egypt;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
665;Diogo Matias | Portugal;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0
666;Hassan Al Alblooshi | UAE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
667;Elmalt Waleed | Egypt;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
668;Emil Petro | Slovakia;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0
669;Gianni Pase | Italy;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;0
670;Eddel Diaz | USA;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
671;Koen Kersbergen | Netherlands;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
672;Jakob Christoph | Austria;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0
673;Kornelius Kamajaya | Indonesia;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
674;Krasimir Bankov | Australia;;;;0;;0;;;;;;;;;;;;;;;0;;;;;;;;0
675;Ivan Zaharinov | Russia;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
676;Craig Winning | Canada;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;0
677;Delyan Pavlov | Bulgaria;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0
678;Anssi Horppu | Finland;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;0
679;Hienz Konrad | Austria;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;0
680;Jozef Marczynski | Poland;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0
681;Total;14330;19405;4858;24280;6493;7298;4212;2048;15615;2553;14932;20088;16842;15910;12487;4606;7572;13527;12463;17861;30387;6470;11015;14181;17508;11956;9426;12519;350842
682
683
