;Gender;M
;Season;(Višestruke stavke)
;FAI rank;(Višestruke stavke)
;FAI Licence Validation;(Višestruke stavke)

;WALAR score points;Competitions
;Competitor;2021 Dubai IPC;2021 WPC;2022 EEAC BiH;2022 WPC;2023 Dolomiti Cup;2023 Dubai IPC;2023 EEAC BiH;2023 EEAC Bulgaria;2023 EPC;2023 NC Austria;2023 SWCS Austria;2023 SWCS Italy;2023 SWCS UAE;2023 World Cup;2024 Dubai IPC;2024 EEAC BiH;2024 Poreč IPC;2024 SWCS Austria;2024 SWCS Czech R.;2024 SWCS Italy;2024 WPC;2025 Poreč IPC;2025 SWCS Czech R.;2025 EPC;2025 SWCS Italy;2025 SWCS Austria;2025 Asian PC;2025 World Cup;Total
175;Boban Prodanović | BiH;;;72;;;;107;;;;;40;;;;91;;;;;;;;;0;;;;310
176;Ahmed Al Marri | UAE;110;;;;;;;;;190;;;;;;;;;;;;9;;;;;;;309
177;Abdullah Al Hinai | Oman;;;;;;;;;;;;;;;;;;;;;;300;;;;;;;300
178;Ahmed Rashed Al Marri | UAE;;;;;;220;;;;;;;75;;;;;;;;;;;;;;;;295
179;Peter Slivovsky | Slovakia;;;;;;;;;;;;;;;;;;;130;;;;51;23;89;;;;293
180;Hrvoje Sladetić | Croatia;;;;;;;;;;;;;;;;;200;;;;;85;;;;;;;285
181;Jürgen Barth | Germany;;;;;;;;;;;120;9;45;;;;;90;0;6;;;15;;0;0;;;285
182;Caspar Eberhard | Switzerland;;;;;;;;;6;;40;2;;0;;;;9;;66;;;;;;160;;;283
183;Nils Kammer | Germany;0;;;100;;16;;;;;9;;;;90;;;60;;;;;;;;7;;;282
184;Wolfgang Hasenrath-Peserl | Austria;;;;;;;;;;67;1;20;;;;;85;2;4;66;;;20;;0;2;;;267
185;Moosa Taher | UAE;0;;;;;86;;;;;4;8;0;;43;;79;37;;9;;;;;;;;;266
186;Saeed Al Marri | Qatar;;95;170;;;;;;;;;;;;;;;;;;;;;;;;;;265
187;Pablo Garcia Matanza | Espana;;;;;;;;;;;;87;;;19;;;;;0;8;;;;;;;150;264
188;Edin Alisa | USA;90;;;0;;70;;;;;;9;15;;;;;2;;30;36;;;;10;;;;262
189;Ivan Mateo Garcia Estrada | Espana;;;;;;;;;;;;;;;10;;;;;;;;5;17;;;;230;262
190;Ivo Karkashev | Bulgaria;;;;;;;;260;;;;0;;;;;;;;;;;;;;;;;260
191;Vladimir Kržalić | Serbia;;;40;;;;50;63;;;;;;;;102;;;;;;;;;;;;;255
192;Urs Sägesser | Switzerland;;;;;;;;;;;;20;;;;;;;;;;;;;200;30;;;250
193;Dejan Cvetković | Serbia;;;50;0;;;80;75;9;;;;;3;;30;;;;;0;;0;2;1;0;;;250
194;Lars Bo Willumsen | Denmark;;250;;;;;;;;;;;;;;;;;;;;;;;;;;;250
195;Robert Trandafir | Romania;;;210;0;;;;;;;;;;;;;;;;20;;;4;11;2;;;;247
196;John Mathiesen | Denmark;;51;;;;;;;;;0;7;;;;;;;;;;;180;;;7;;;245
197;Pavel Taršinský | Czech Republic;;;;;;;;;;;;;;;;;;7;130;66;;;;;40;;;;243
198;Oliver Hotopp | Germany;;;;;;;;;;;150;;75;;;;;0;0;;;;9;;;;;;234
199;Jiří Černý | Czech Republic;;;;;;;;;;;40;0;7;;;;;;;;;;170;;15;1;;;233
200;Gabriel Huber | Austria;;;;;;;;;;0;9;5;5;;;;30;49;5;;;130;;;;0;;;233
201;Zhen Li | China;;;;;;;;;;;;;;;;;;;;;60;;;;;;;170;230
202;Pierre Asteix | France;;;;;;;;;;;;;;;;;;;;40;190;;;;;;;;230
203;Sa Liu | China;;;;;;;;;;;;;;;;;;;;;;;;;;;150;80;230
204;Christoph Zahler | Germany;50;;;180;;;;;;;;;;;;;;;;;;;;;;;;;230
205;Nándor Buzás | Hungary;;;;;;;;;;;150;40;;;;;;37;0;0;0;;;;;;;;227
206;Hans-Jörg Baumann | Switzerland;;;;;;;;;80;;20;61;1;40;;;;0;0;2;;;0;1;20;;;;225
207;Pál Krajcsi | Hungary;;;60;;;;70;53;;;;;;;;40;;;;;;;;;;;;;223
208;Razvan Ovidiu Modruj | Bulgaria;0;;;0;;;;140;;;0;0;;;;;64;0;0;0;18;;;;0;;;;222
209;Mohammed Said Almarri | Qatar;;;;;;;;;;;;;;;;;;;;;220;;;;;;;;220
210;Artur Gosiewski | Poland;80;;;;;;80;;;;;;;;;60;;;;;;;;;;;;;220
211;Dragan Bodrožić | Serbia;;;40;;;;90;;;;8;;;;;60;;;;;11;;0;5;;0;;;214
212;Peter Jakuba | Slovakia;;;;17;;;;;;;4;;;;;;;;11;;150;;5;15;5;;;;207
213;Martin Gabla | Czech Republic;;;;;;;;;;;9;;;;;;;0;180;8;;;1;;9;;;;207
214;Tomasz Rapita | Poland;;;;;;;;;44;;;;;12;;;;90;0;;;;50;;;11;;;207
215;Raphael Lautenbacher | Germany;;;;;;22;;;;;55;10;;;12;;;0;;20;;;64;;20;;;;203
216;Bojan Frlan | Croatia;;;;;20;;160;;;;;4;;;;;;;;1;11;;;;7;;;;203
217;Al Suwaidi Matar Salem Humaid Ali | UAE;;;;;;;;;;;;;;;;;;;;;;;;;;;150;53;203
218;Bruno Batista | Portugal;;;;4;;;;;110;;;;;80;4;;;;;;0;;0;3;;;;;201
219;Nengyuan Hu | China;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;200
220;Roman Wejksznia | Poland;;;;;32;;;;10;;8;0;;4;;;;0;0;90;36;;4;;9;;;;193
221;Deividas Raguckas | Lithuania;;40;;9;85;;;;44;;;;;12;;;;;;;0;;0;2;;;;;192
222;Zoran Lakić | Montenegro;;;98;;;22;;;;;;;;;0;70;;;;;;;;;;;;;190
223;Tomaž Korpar | Slovenia;;;;;;;60;;;;;;;;;128;;;;;;;;;;0;;;188
224;Magnus Ostler | Germany;;;;;;;;;;;0;0;;;;;;4;7;0;;;50;90;30;0;;;181
225;Othman Al Feteisi | Oman;;;;;;;;;;;;;;;;;;;;;;180;;;;;;;180
226;Michael Hribernik | Austria;;;;;;;;;;14;150;;;;;;;7;;5;;;;;;;;;176
227;Daniele Varago | Italy;;;;;;;;;;;9;6;;;;160;;;;;;;;;;0;;;175
228;Sergio Valencia Torres | Espana;;;;;;34;;;;;;140;;;;;;;;;;;;;;;;;174
229;Matko Vuković | Croatia;;;;;;;;;;;;;;;;60;63;;;;;;10;39;;;;;172
230;Xin Zhang | China;;;;;;;;;;;;;;;;;;;;;;;;;;;;170;170
231;Goran Ratkajec | Croatia;22;;;100;;48;;;;;;;;;;;;;;;0;;;;;;;;170
232;Abdullah Al Maqbali | Oman;;;;;;;;;;;;;;;;;;;;;;170;;;;;;;170
